LISTA DE TOKENS:

Linha:	1	|	.		|	Delimitador
Linha:	1	|	<		|	Operador Relacional
Linha:	1	|	>		|	Operador Relacional
Linha:	2	|	.		|	Delimitador
Linha:	2	|	<		|	Operador Relacional
Linha:	2	|	>		|	Operador Relacional
Linha:	4	|	*		| Operador Lógico
Linha:	4	|	,		|	Delimitador
Linha:	4	|	(		|	Delimitador
Linha:	4	|	)		|	Delimitador
Linha:	4	|	{		|	Delimitador
Linha:	4	|	int	|	Palavra Reservada
Linha:	5	|	*		| Operador Lógico
Linha:	5	|	;		|	Delimitador
Linha:	5	|	int	|	Palavra Reservada
Linha:	6	|	*		| Operador Lógico
Linha:	6	|	;		|	Delimitador
Linha:	7	|	*		| Operador Lógico
Linha:	7	|	;		|	Delimitador
Linha:	8	|	}		|	Delimitador
Linha:	9	|	*		| Operador Lógico
Linha:	9	|	,		|	Delimitador
Linha:	9	|	(		|	Delimitador
Linha:	9	|	)		|	Delimitador
Linha:	9	|	{		|	Delimitador
Linha:	9	|	int	|	Palavra Reservada
Linha:	10	|	1		|	Número Inteiro
Linha:	10	|	;		|	Delimitador
Linha:	10	|	(		|	Delimitador
Linha:	10	|	)		|	Delimitador
Linha:	10	|	<		|	Operador Relacional
Linha:	10	|	return	|	Palavra Reservada
Linha:	10	|	if	|	Palavra Reservada
Linha:	12	|	0		|	Número Inteiro
Linha:	12	|	+		| Operador Lógico
Linha:	12	|	++		| Operador Lógico
Linha:	12	|	;		|	Delimitador
Linha:	12	|	(		|	Delimitador
Linha:	12	|	)		|	Delimitador
Linha:	12	|	<		|	Operador Relacional
Linha:	12	|	int	|	Palavra Reservada
Linha:	13	|	1		|	Número Inteiro
Linha:	13	|	+		| Operador Lógico
Linha:	13	|	(		|	Delimitador
Linha:	13	|	)		|	Delimitador
Linha:	13	|	[		|	Delimitador
Linha:	13	|	]		|	Delimitador
Linha:	13	|	>		|	Operador Relacional
Linha:	13	|	if	|	Palavra Reservada
Linha:	14	|	1		|	Número Inteiro
Linha:	14	|	+		| Operador Lógico
Linha:	14	|	;		|	Delimitador
Linha:	14	|	,		|	Delimitador
Linha:	14	|	(		|	Delimitador
Linha:	14	|	)		|	Delimitador
Linha:	14	|	[		|	Delimitador
Linha:	14	|	]		|	Delimitador
Linha:	15	|	1		|	Número Inteiro
Linha:	15	|	-		| Operador Lógico
Linha:	15	|	;		|	Delimitador
Linha:	15	|	,		|	Delimitador
Linha:	15	|	(		|	Delimitador
Linha:	15	|	)		|	Delimitador
Linha:	16	|	}		|	Delimitador
Linha:	18	|	/		| Operador Lógico
Linha:	18	|	.		|	Delimitador
Linha:	19	|	(		|	Delimitador
Linha:	19	|	)		|	Delimitador
Linha:	19	|	{		|	Delimitador
Linha:	19	|	int	|	Palavra Reservada
Linha:	20	|	*		| Operador Lógico
Linha:	20	|	;		|	Delimitador
Linha:	20	|	,		|	Delimitador
Linha:	20	|	int	|	Palavra Reservada
Linha:	21	|	;		|	Delimitador
Linha:	21	|	,		|	Delimitador
Linha:	21	|	(		|	Delimitador
Linha:	21	|	)		|	Delimitador
Linha:	22	|	*		| Operador Lógico
Linha:	22	|	;		|	Delimitador
Linha:	22	|	(		|	Delimitador
Linha:	22	|	)		|	Delimitador
Linha:	22	|	int	|	Palavra Reservada
Linha:	23	|	0		|	Número Inteiro
Linha:	23	|	+		| Operador Lógico
Linha:	23	|	++		| Operador Lógico
Linha:	23	|	;		|	Delimitador
Linha:	23	|	,		|	Delimitador
Linha:	23	|	(		|	Delimitador
Linha:	23	|	)		|	Delimitador
Linha:	23	|	[		|	Delimitador
Linha:	23	|	]		|	Delimitador
Linha:	23	|	<		|	Operador Relacional
Linha:	24	|	1		|	Número Inteiro
Linha:	24	|	-		| Operador Lógico
Linha:	24	|	;		|	Delimitador
Linha:	24	|	,		|	Delimitador
Linha:	24	|	(		|	Delimitador
Linha:	24	|	)		|	Delimitador
Linha:	25	|	0		|	Número Inteiro
Linha:	25	|	+		| Operador Lógico
Linha:	25	|	++		| Operador Lógico
Linha:	25	|	;		|	Delimitador
Linha:	25	|	,		|	Delimitador
Linha:	25	|	(		|	Delimitador
Linha:	25	|	)		|	Delimitador
Linha:	25	|	[		|	Delimitador
Linha:	25	|	]		|	Delimitador
Linha:	25	|	<		|	Operador Relacional
Linha:	25	|	print	|	Palavra Reservada
Linha:	25	|	int	|	Palavra Reservada
Linha:	26	|	0		|	Número Inteiro
Linha:	26	|	;		|	Delimitador
Linha:	26	|	return	|	Palavra Reservada
Linha:	27	|	}		|	Delimitador
Linha:	28	|	*		| Operador Lógico
Linha:	28	|	/		| Operador Lógico
Linha:	28	|	/*		|	Delimitador de Comentário
Linha:	28	|	!		|	Operador Lógico
